证券代码,证券简称,"估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29↓","估价修正久期(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2017-10-10","估价修正久期(上清所)
[日期] 2017-10-10","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29"
101018.SZ,国债1018,4.1392,4.0012,4.2468,4.4369,13.9393,4.2543,14.1764,14.2366,14.0218,14.1246
019018.SH,10国债18,4.1392,4.0012,4.2468,4.4369,13.9393,4.2543,14.1764,14.2366,14.0218,14.1246
101705.SZ,国债1705,4.2627,4.0380,4.2176,4.4186,16.4764,4.2755,16.6887,16.6077,16.6398,16.3088
019559.SH,17国债05,4.2627,4.0380,4.2176,4.4186,16.4764,4.2755,16.6887,16.6077,16.6398,16.3088
101003.SZ,国债1003,4.1091,3.9747,4.2220,4.4107,13.9089,4.2289,14.1545,13.9252,13.9953,13.8144
019003.SH,10国债03,4.1091,3.9747,4.2220,4.4107,13.9089,4.2289,14.1545,13.9252,13.9953,13.8144
101525.SZ,国债1525,4.2181,4.0101,4.2090,4.4105,15.9196,4.2502,16.1282,16.3399,16.0493,16.0706
019525.SH,15国债25,4.2181,4.0101,4.2090,4.4105,15.9196,4.2502,16.1282,16.3399,16.0493,16.0706
101416.SZ,国债1416,4.1786,3.9940,4.2075,4.4058,14.9324,4.2344,15.1266,14.9922,15.0269,14.7473
019416.SH,14国债16,4.1786,3.9940,4.2075,4.4058,14.9324,4.2344,15.1266,14.9922,15.0269,14.7473
101116.SZ,国债1116,4.1118,3.9635,4.2031,4.3960,14.0302,4.2123,14.2476,14.3434,14.1065,14.1963
019116.SH,11国债16,4.1118,3.9635,4.2031,4.3960,14.0302,4.2123,14.2476,14.3434,14.1065,14.1963
101212.SZ,国债1212,4.1213,3.9585,4.1926,4.3894,14.7087,4.2058,14.9275,15.0433,14.7929,14.8665
019212.SH,12国债12,4.1213,3.9585,4.1926,4.3894,14.7087,4.2058,14.9275,15.0433,14.7929,14.8665
101325.SZ,国债1325,4.1464,3.9710,4.1910,4.3881,14.4989,4.2123,14.6901,14.8581,14.5824,14.6401
019325.SH,13国债25,4.1464,3.9710,4.1910,4.3881,14.4989,4.2123,14.6901,14.8581,14.5824,14.6401
101213.SZ,国债1213,4.1140,3.9499,4.1829,4.3798,14.7700,4.1970,14.9895,14.8119,14.8558,14.6201
019213.SH,12国债13,4.1140,3.9499,4.1829,4.3798,14.7700,4.1970,14.9895,14.8119,14.8558,14.6201
101040.SZ,国债1040,4.0761,3.9331,4.1764,4.3680,14.0095,4.1843,14.2393,14.3147,14.0896,14.1859
019040.SH,10国债40,4.0761,3.9331,4.1764,4.3680,14.0095,4.1843,14.2393,14.3147,14.0896,14.1859
100925.SZ,国债0925,4.0635,3.9335,4.1805,4.3676,13.5087,4.1884,13.7509,13.7966,13.5923,13.7034
